"genesysId","collMissId","collNumb","collDate","collSrc","collSite","collCode","collName","collInstAddress","version"
"2509376","","","","","","","","","0"
"2509382","","","","","","","","","0"
"2509383","","","","","","","","","0"
"2509385","","","","","","","","","0"
"2509386","","","","","","","","","0"
"2509387","","","","","","","","","0"
"2509388","","","","","","","","","0"
"2509389","","","","","","","","","0"
"2509390","","","","","","","","","0"
"2509392","","","","","","","","","0"
"2509393","","","","","","","","","0"
"2509394","","","","","","","","","0"
"2509395","","","","","","","","","0"
"2509396","","","","","","","","","0"
"2509397","","","","","","","","","0"
"2509398","","","","","","","","","0"
"2509399","","","","","","","","","0"
"2509400","","","","","","","","","0"
"2509402","","","","","","","","","0"
"2509403","","","","","CIAT KMS: 17","","","","0"
"2509404","","","","","CIAT KMS: 17","","","","0"
"2509405","","","","","CIAT KMS: 17","","","","0"
"2509406","","","","","CIAT KMS: 17","","","","0"
"2509407","","","","","CIAT KMS: 17","","","","0"
"2509408","","","","","CIAT KMS: 17","","","","0"
"2509409","","","","","CIAT KMS: 17","","","","0"
"2509410","","","","","CIAT KMS: 17","","","","0"
"2509411","","","","","CIAT KMS: 17","","","","0"
"2509412","","","","","CIAT KMS: 17","","","","0"
"2509413","","","","","CIAT KMS: 17","","","","0"
"2509414","","","","","CIAT KMS: 17","","","","0"
"2509415","","","","","CIAT KMS: 17","","","","0"
"2509416","","","","","CIAT KMS: 17","","","","0"
"2509417","","","","","CIAT KMS: 17","","","","0"
"2509418","","","","","CIAT KMS: 17","","","","0"
"2509419","","","","","CIAT KMS: 17","","","","0"
"2509420","","","","","CIAT KMS: 17","","","","0"
"2509421","","","","","CIAT KMS: 17","","","","0"
"2509422","","","","","CIAT KMS: 17","","","","0"
"2509423","","","","","CIAT KMS: 17","","","","0"
"2509425","","","","","CIAT KMS: 17","","","","0"
"2509431","","","","","CIAT KMS: 17","","","","0"
"2509432","","","","","CIAT KMS: 17","","","","0"
"2509433","","","","","CIAT KMS: 17","","","","0"
"2509434","","","","","CIAT KMS: 17","","","","0"
"2509435","","","","","CIAT KMS: 17","","","","0"
"2509436","","","","","CIAT KMS: 17","","","","0"
"2509437","","","","","CIAT KMS: 17","","","","0"
"2509438","","","","","CIAT KMS: 17","","","","0"
"2509439","","","","","CIAT KMS: 17","","","","0"
"2509440","","","","","CIAT KMS: 17","","","","0"
"2509441","","","","","CIAT KMS: 17","","","","0"
"2509442","","","","","CIAT KMS: 17","","","","0"
"2509443","","","","","CIAT KMS: 17","","","","0"
"2509444","","","","","CIAT KMS: 17","","","","0"
"2509445","","","","","CIAT KMS: 17","","","","0"
"2509446","","","","","CIAT KMS: 17","","","","0"
"2509447","","","","","CIAT KMS: 17","","","","0"
"2509448","","","","","CIAT KMS: 17","","","","0"
"2509449","","","","","CIAT KMS: 17","","","","0"
"2509450","","","","","CIAT KMS: 17","","","","0"
"2509451","","","","","CIAT KMS: 17","","","","0"
"2509452","","","","","CIAT KMS: 17","","","","0"
"2509453","","","","","CIAT KMS: 17","","","","0"
"2509454","","","","","CIAT KMS: 17","","","","0"
"2509455","","","","","CIAT KMS: 17","","","","0"
"2509456","","","","","CIAT KMS: 17","","","","0"
"2509457","","","","","CIAT KMS: 17","","","","0"
"2509458","","","","","CIAT KMS: 17","","","","0"
"2509459","","","","","CIAT KMS: 17","","","","0"
"2509460","","","","","CIAT KMS: 17","","","","0"
"2509461","","","","","CIAT KMS: 17","","","","0"
"2509462","","","","","CIAT KMS: 17","","","","0"
"2509463","","","","","CIAT KMS: 17","","","","0"
"2509464","","","","","CIAT KMS: 17","","","","0"
"2509465","","","","","CIAT KMS: 17","","","","0"
"2509466","","","","","CIAT KMS: 17","","","","0"
"2509467","","","","","CIAT KMS: 17","","","","0"
"2509468","","","","","CIAT KMS: 17","","","","0"
"2509469","","","","","CIAT KMS: 17","","","","0"
"2509470","","","","","CIAT KMS: 17","","","","0"
"2509471","","","","","CIAT KMS: 17","","","","0"
"2509489","","","","","","","","","0"
"2509490","","","","","","","","","0"
"2510052","","","","","","","","","0"
"2510137","","","","","","","","","0"
"2510141","","","","","","","","","0"
"2510142","","","","","","","","","0"
"2510143","","","","","","","","","0"
"2510144","","","","","","","","","0"
"2510145","","","","","","","","","0"
"2510146","","","","","","","","","0"
"2510147","","","","","","","","","0"
"2510148","","","","","","","","","0"
"2510149","","","","","","","","","0"
"2510150","","","","","","","","","0"
"2510151","","","","","","","","","0"
"2510152","","","","","","","","","0"
"2510153","","","","","","","","","0"
"2510154","","","","","","","","","0"
"2510155","","","","","","","","","0"
"2510156","","","","","","","","","0"
"2510157","","","","","","","","","0"
"2510242","","","","","","","","","0"
"2510246","","","","","","","","","0"
"2510248","","","","","","","","","0"
"2510251","","","","","","","","","0"
"2510260","","","","","","","","","0"
"2510269","","","","","","","","","0"
"2510276","","","","","","","","","0"
"2510289","","","","","","","","","0"
"2510301","","","","","","","","","0"
"2510318","","","","","","","","","0"
"2510366","","","","","","","","","0"
"2510370","","","","","","","","","0"
"2510376","","","","","","","","","0"
"2510377","","","","","","","","","0"
"2510378","","","","","","","","","0"
"2510379","","","","","","","","","0"
"2510380","","","","","","","","","0"
"2510381","","","","","","","","","0"
"2510382","","","","","","","","","0"
"2510383","","","","","","","","","0"
"2510385","","","","","","","","","0"
"2510386","","","","","","","","","0"
"2510444","","","","","","","","","0"
"2510445","","","","","","","","","0"
"2510450","","","","","","","","","0"
"2510706","","","","","","","","","0"
"2510707","","","","","","","","","0"
"2510793","","","","","","","","","0"
"2511530","","","","","","","","","0"
"2511533","","","","","","","","","0"
"2511534","","","","","","","","","0"
"2511535","","","","","","","","","0"
"2511536","","","","","","","","","0"
"2511537","","","","","","","","","0"
"2511538","","","","","","","","","0"
"2511540","","","","","","","","","0"
"2511541","","","","","","","","","0"
"2511542","","","","","","","","","0"
"2511543","","","","","","","","","0"
"2511544","","","","","","","","","0"
"2511546","","","","","","","","","0"
"2511547","","","","","","","","","0"
"2511549","","","","","","","","","0"
"2511550","","","","","","","","","0"
"2511551","","","","","","","","","0"
"2511552","","","","","","","","","0"
"2511553","","","","","","","","","0"
"2511554","","","","","","","","","0"
"2511555","","","","","","","","","0"
"2511557","","","","","","","","","0"
"2511558","","","","","","","","","0"
"2511559","","","","","","","","","0"
"2511560","","","","","","","","","0"
"2511561","","","","","","","","","0"
"2511562","","","","","","","","","0"
"2511563","","","","","","","","","0"
"2511564","","","","","","","","","0"
"2511565","","","","","","","","","0"
"2511566","","","","","","","","","0"
"2512863","","","","","CIAT KMS: 17","","","","0"
"2512864","","","","","CIAT KMS: 17","","","","0"
"2512865","","","","","CIAT KMS: 17","","","","0"
"2512866","","","","","CIAT KMS: 17","","","","0"
"2512867","","","","","CIAT KMS: 17","","","","0"
"2512868","","","","","CIAT KMS: 17","","","","0"
"2512869","","","","","CIAT KMS: 17","","","","0"
"2512870","","","","","CIAT KMS: 17","","","","0"
"2512871","","","","","CIAT KMS: 17","","","","0"
"2512872","","","","","CIAT KMS: 17","","","","0"
"2512873","","","","","CIAT KMS: 17","","","","0"
"2512874","","","","","CIAT KMS: 17","","","","0"
"2512875","","","","","CIAT KMS: 17","","","","0"
"2512876","","","","","CIAT KMS: 17","","","","0"
"2512877","","","","","CIAT KMS: 17","","","","0"
"2512878","","","","","CIAT KMS: 17","","","","0"
"2512879","","","","","CIAT KMS: 17","","","","0"
"2512880","","","","","CIAT KMS: 17","","","","0"
"2512881","","","","","CIAT KMS: 17","","","","0"
"2512882","","","","","CIAT KMS: 17","","","","0"
"2512883","","","","","CIAT KMS: 17","","","","0"
"2512884","","","","","CIAT KMS: 17","","","","0"
"2512885","","","","","CIAT KMS: 17","","","","0"
"2512886","","","","","CIAT KMS: 17","","","","0"
"2512887","","","","","CIAT KMS: 17","","","","0"
"2512888","","","","","CIAT KMS: 17","","","","0"
"2512889","","","","","CIAT KMS: 17","","","","0"
"2512890","","","","","CIAT KMS: 17","","","","0"
"2512891","","","","","CIAT KMS: 17","","","","0"
"2512892","","","","","CIAT KMS: 17","","","","0"
"2512893","","","","","CIAT KMS: 17","","","","0"
"2512894","","","","","CIAT KMS: 17","","","","0"
"2512895","","","","","CIAT KMS: 17","","","","0"
"2512896","","","","","CIAT KMS: 17","","","","0"
"2512897","","","","","CIAT KMS: 17","","","","0"
"2512898","","","","","CIAT KMS: 17","","","","0"
"2512899","","","","","CIAT KMS: 17","","","","0"
"2512900","","","","","CIAT KMS: 17","","","","0"
"2512901","","","","","CIAT KMS: 17","","","","0"
"2512902","","","","","CIAT KMS: 17","","","","0"
"2512903","","","","","CIAT KMS: 17","","","","0"
"2512904","","","","","CIAT KMS: 17","","","","0"
"2512905","","","","","CIAT KMS: 17","","","","0"
"2512906","","","","","CIAT KMS: 17","","","","0"
"2512907","","","","","CIAT KMS: 17","","","","0"
"2512908","","","","","CIAT KMS: 17","","","","0"
"2512909","","","","","CIAT KMS: 17","","","","0"
"2512910","","","","","CIAT KMS: 17","","","","0"
"2512911","","","","","CIAT KMS: 17","","","","0"
"2512912","","","","","CIAT KMS: 17","","","","0"
"2512913","","","","","CIAT KMS: 17","","","","0"
"2512914","","","","","CIAT KMS: 17","","","","0"
"2512915","","","","","CIAT KMS: 17","","","","0"
"2512916","","","","","CIAT KMS: 17","","","","0"
"2512917","","","","","CIAT KMS: 17","","","","0"
"2512918","","","","","CIAT KMS: 17","","","","0"
"2512919","","","","","CIAT KMS: 17","","","","0"
"2512920","","","","","CIAT KMS: 17","","","","0"
"2512921","","","","","CIAT KMS: 17","","","","0"
"2512922","","","","","CIAT KMS: 17","","","","0"
"2512923","","","","","CIAT KMS: 17","","","","0"
"2512924","","","","","CIAT KMS: 17","","","","0"
"2512925","","","","","CIAT KMS: 17","","","","0"
"2512926","","","","","CIAT KMS: 17","","","","0"
"2512927","","","","","CIAT KMS: 17","","","","0"
"2512928","","","","","CIAT KMS: 17","","","","0"
"2512929","","","","","CIAT KMS: 17","","","","0"
"2512930","","","","","CIAT KMS: 17","","","","0"
"2512931","","","","","CIAT KMS: 17","","","","0"
"2512932","","","","","CIAT KMS: 17","","","","0"
"2512933","","","","","CIAT KMS: 17","","","","0"
"2512934","","","","","CIAT KMS: 17","","","","0"
"2512935","","","","","CIAT KMS: 17","","","","0"
"2512936","","","","","CIAT KMS: 17","","","","0"
"2512937","","","","","CIAT KMS: 17","","","","0"
"2512938","","","","","CIAT KMS: 17","","","","0"
"2512939","","","","","CIAT KMS: 17","","","","0"
"2512940","","","","","CIAT KMS: 17","","","","0"
"2512941","","","","","CIAT KMS: 17","","","","0"
"2512942","","","","","CIAT KMS: 17","","","","0"
"2512943","","","","","CIAT KMS: 17","","","","0"
"2512944","","","","","CIAT KMS: 17","","","","0"
"2512945","","","","","CIAT KMS: 17","","","","0"
"2512946","","","","","CIAT KMS: 17","","","","0"
"2512947","","","","","CIAT KMS: 17","","","","0"
"2512948","","","","","CIAT KMS: 17","","","","0"
"2512949","","","","","CIAT KMS: 17","","","","0"
"2512950","","","","","CIAT KMS: 17","","","","0"
"2512951","","","","","CIAT KMS: 17","","","","0"
"2512952","","","","","CIAT KMS: 17","","","","0"
"2512953","","","","","CIAT KMS: 17","","","","0"
"2512954","","","","","CIAT KMS: 17","","","","0"
"2512955","","","","","CIAT KMS: 17","","","","0"
"2512956","","","","","CIAT KMS: 17","","","","0"
"2512957","","","","","CIAT KMS: 17","","","","0"
"2512958","","","","","CIAT KMS: 17","","","","0"
"2512959","","","","","CIAT KMS: 17","","","","0"
"2512960","","","","","CIAT KMS: 17","","","","0"
"2512961","","","","","CIAT KMS: 17","","","","0"
"2512962","","","","","CIAT KMS: 17","","","","0"
"2512963","","","","","CIAT KMS: 17","","","","0"
"2512964","","","","","CIAT KMS: 17","","","","0"
"2512965","","","","","CIAT KMS: 17","","","","0"
"2512966","","","","","CIAT KMS: 17","","","","0"
"2512967","","","","","CIAT KMS: 17","","","","0"
"2512968","","","","","CIAT KMS: 17","","","","0"
"2512969","","","","","CIAT KMS: 17","","","","0"
"2512970","","","","","CIAT KMS: 17","","","","0"
"2512971","","","","","CIAT KMS: 17","","","","0"
"2512972","","","","","CIAT KMS: 17","","","","0"
"2512973","","","","","CIAT KMS: 17","","","","0"
"2512974","","","","","CIAT KMS: 17","","","","0"
"2512975","","","","","CIAT KMS: 17","","","","0"
"2512976","","","","","CIAT KMS: 17","","","","0"
"2512977","","","","","CIAT KMS: 17","","","","0"
"2512978","","","","","CIAT KMS: 17","","","","0"
"2512979","","","","","CIAT KMS: 17","","","","0"
"2512980","","","","","CIAT KMS: 17","","","","0"
"2512981","","","","","CIAT KMS: 17","","","","0"
"2512982","","","","","CIAT KMS: 17","","","","0"
"2512983","","","","","CIAT KMS: 17","","","","0"
"2512984","","","","","CIAT KMS: 17","","","","0"
"2512985","","","","","CIAT KMS: 17","","","","0"
"2512986","","","","","CIAT KMS: 17","","","","0"
"2512987","","","","","CIAT KMS: 17","","","","0"
"2512988","","","","","CIAT KMS: 17","","","","0"
"2512989","","","","","CIAT KMS: 17","","","","0"
"2512990","","","","","CIAT KMS: 17","","","","0"
"2512991","","","","","CIAT KMS: 17","","","","0"
"2512992","","","","","CIAT KMS: 17","","","","0"
"2512993","","","","","CIAT KMS: 17","","","","0"
"2512994","","","","","CIAT KMS: 17","","","","0"
"2512995","","","","","CIAT KMS: 17","","","","0"
"2512996","","","","","CIAT KMS: 17","","","","0"
"2512997","","","","","CIAT KMS: 17","","","","0"
"2512998","","","","","CIAT KMS: 17","","","","0"
"2512999","","","","","CIAT KMS: 17","","","","0"
"2513000","","","","","CIAT KMS: 17","","","","0"
"2513001","","","","","CIAT KMS: 17","","","","0"
"2513002","","","","","CIAT KMS: 17","","","","0"
"2513003","","","","","CIAT KMS: 17","","","","0"
"2513004","","","","","CIAT KMS: 17","","","","0"
"2513005","","","","","CIAT KMS: 17","","","","0"
"2513006","","","","","CIAT KMS: 17","","","","0"
"2513007","","","","","CIAT KMS: 17","","","","0"
"2513008","","","","","CIAT KMS: 17","","","","0"
"2513009","","","","","CIAT KMS: 17","","","","0"
"2513010","","","","","CIAT KMS: 17","","","","0"
"2513011","","","","","CIAT KMS: 17","","","","0"
"2513012","","","","","CIAT KMS: 17","","","","0"
"2513013","","","","","CIAT KMS: 17","","","","0"
"2513014","","","","","CIAT KMS: 17","","","","0"
"2513015","","","","","CIAT KMS: 17","","","","0"
"2513016","","","","","CIAT KMS: 17","","","","0"
"2513017","","","","","CIAT KMS: 17","","","","0"
"2513018","","","","","CIAT KMS: 17","","","","0"
"2513019","","","","","CIAT KMS: 17","","","","0"
"2513020","","","","","CIAT KMS: 17","","","","0"
"2513021","","","","","CIAT KMS: 17","","","","0"
"2513022","","","","","CIAT KMS: 17","","","","0"
"2513023","","","","","CIAT KMS: 17","","","","0"
"2513024","","","","","CIAT KMS: 17","","","","0"
"2513025","","","","","CIAT KMS: 17","","","","0"
"2513026","","","","","CIAT KMS: 17","","","","0"
"2513027","","","","","CIAT KMS: 17","","","","0"
"2513028","","","","","CIAT KMS: 17","","","","0"
"2513029","","","","","CIAT KMS: 17","","","","0"
"2513030","","","","","CIAT KMS: 17","","","","0"
"2513031","","","","","CIAT KMS: 17","","","","0"
"2513032","","","","","CIAT KMS: 17","","","","0"
"2513033","","","","","CIAT KMS: 17","","","","0"
